ordinal,CAPITULO,Pos DOC,DOCUMENTO,Pos BIEN,BIEN,Articulo,Honorario,Detalle valor base
1,CAPITULO I - ACTOS Y CONTRATOS,1,COMPRAVENTA,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
2,CAPITULO I - ACTOS Y CONTRATOS,1,COMPRAVENTA,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
3,CAPITULO I - ACTOS Y CONTRATOS,1,COMPRAVENTA,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
4,CAPITULO I - ACTOS Y CONTRATOS,1,COMPRAVENTA,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
5,CAPITULO I - ACTOS Y CONTRATOS,1,COMPRAVENTA,5,BUQUE,1) I) a),3%,Valor asignado por las partes
6,CAPITULO I - ACTOS Y CONTRATOS,2,PROMESA DE ENAJENACION,1,BIEN INMUEBLE,1) III),1.5%,"Valor asignado por las partes o valor catastral, el mayor "
7,CAPITULO I - ACTOS Y CONTRATOS,2,PROMESA DE ENAJENACION,2,BIEN MUEBLE,1) III),1.0%,Valor asignado por las partes
8,CAPITULO I - ACTOS Y CONTRATOS,2,PROMESA DE ENAJENACION,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) III),1.5%,Valor asignado por las partes
9,CAPITULO I - ACTOS Y CONTRATOS,2,PROMESA DE ENAJENACION,4,AERONAVE,1) III),1.5%,Valor asignado por las partes
10,CAPITULO I - ACTOS Y CONTRATOS,2,PROMESA DE ENAJENACION,5,BUQUE,1) III),1.5%,Valor asignado por las partes
11,CAPITULO I - ACTOS Y CONTRATOS,3,CESION DE PROMESA DE ENAJENACION,1,BIEN INMUEBLE,1) III),1.5%,"Valor asignado por las partes o valor catastral, el mayor "
12,CAPITULO I - ACTOS Y CONTRATOS,3,CESION DE PROMESA DE ENAJENACION,2,BIEN MUEBLE,1) III),1.0%,Valor asignado por las partes
13,CAPITULO I - ACTOS Y CONTRATOS,3,CESION DE PROMESA DE ENAJENACION,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) III),1.5%,Valor asignado por las partes
14,CAPITULO I - ACTOS Y CONTRATOS,3,CESION DE PROMESA DE ENAJENACION,4,AERONAVE,1) III),1.5%,Valor asignado por las partes
15,CAPITULO I - ACTOS Y CONTRATOS,3,CESION DE PROMESA DE ENAJENACION,5,BUQUE,1) III),1.5%,Valor asignado por las partes
16,CAPITULO I - ACTOS Y CONTRATOS,4,DACION EN PAGO,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
17,CAPITULO I - ACTOS Y CONTRATOS,4,DACION EN PAGO,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
18,CAPITULO I - ACTOS Y CONTRATOS,4,DACION EN PAGO,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
19,CAPITULO I - ACTOS Y CONTRATOS,4,DACION EN PAGO,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
20,CAPITULO I - ACTOS Y CONTRATOS,4,DACION EN PAGO,5,BUQUE,1) I) a),3%,Valor asignado por las partes
21,CAPITULO I - ACTOS Y CONTRATOS,5,DONACION,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
22,CAPITULO I - ACTOS Y CONTRATOS,5,DONACION,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
