No ordinal,CAPITULO,Pos DOC,DOCUMENTO,Pos BIEN,BIEN,Articulo,Valor base,Honorario
1,CAPITULO II - CERTIFICACIONES,1,"DE FIRMAS DE VALE, CONFORME, PAGARE, O CUALQUIER DOCUMENTO DE CREDITO",,,6 a),,3 UR semestral
2,CAPITULO II - CERTIFICACIONES,2,"DE FIRMAS DE CARTA PODER PARA INSTITUCIONES DE PREVISION SOCIAL, ADM PUBLICA EN GENERAL, INSTITUCIONES BANCARIAS",,,6 b),,1 UR semestral
3,CAPITULO II - CERTIFICACIONES,3,DE FIRMAS DE CONTRATO DE CESION DE USO DE SERVICIO TELEFONICO,,,6 c),,2 UR semestral
4,CAPITULO II - CERTIFICACIONES,4,DE SITUACIONES JURIDICAS O CIRCUNSTANCIAS INHERENTES A BIENES O PERSONAS,,,6 d),,2 UR semestral
5,CAPITULO II - CERTIFICACIONES,5,DE FIRMAS DE CARTA PODER CON INSTITUCIONES PRIVADAS PARA TRAMITES O GESTIONES Y CON UN PLAZO DE 180 DIAS,,,6 e),,1 UR semestral
6,CAPITULO II - CERTIFICACIONES,6,DE FIRMAS NO PREVISTAS EN ESTE ARTICULO,,,6 f),,2 UR semestral
7,CAPITULO II - CERTIFICACIONES,7,DE FIRMAS DE FORMULARIOS PARA REGISTRO DE ESTADO CIVIL,,,6 h),,1 UR semestral
8,CAPITULO II - CERTIFICACIONES,8,SOCIEDADES COOPERATIVAS - ESTATUTOS o MODIFICACION,,,7 A),,20 UR semestral
9,CAPITULO II - CERTIFICACIONES,9,ASOCIACIONES NO COMERCIALES - ESTATUTOS o MODIFICACION,,,7 A),,20 UR semestral
10,CAPITULO II - CERTIFICACIONES,10,CONSORCIO DE EMPRESAS - CONTRATOS o MODIFICACION,,,7 A),,20 UR semestral
11,CAPITULO II - CERTIFICACIONES,11,GRUPOS DE INTERES ECONOMICO - CONTRATOS o MODIFICACION,,,7 A),,20 UR semestral
12,CAPITULO II - CERTIFICACIONES,12,FUNDACIONES - ESTATUTOS o MODIFICACION,,,7 A),,20 UR semestral
13,CAPITULO II - CERTIFICACIONES,13,SOCIEDADES ANONIMAS CAPITAL MAYOR UR 2854 - ESTATUTOS,,,7 B),,5o/oo y nunca menos de 40UR
14,CAPITULO II - CERTIFICACIONES,14,SOCIEDADES DE RESPONSABILIDAD LIMITADA CAPITAL MAYOR UR 2854 - CONTRATOS,,,7 B),,5o/oo y nunca menos de 40UR
15,CAPITULO II - CERTIFICACIONES,15,SOCIEDADES POR ACCIONES SIMPLIFICADAS CAPITAL MAYOR UR 2854 - ESTATUTOS,,,7 B),,5o/oo y nunca menos de 40UR
16,CAPITULO II - CERTIFICACIONES,16,SOCIEDADES ANONIMAS - MODIFICACION CON AUMENTO DE CAPITAL,,,7 B),,5o/oo y nunca menos de 40UR
17,CAPITULO II - CERTIFICACIONES,17,SOCIEDADES DE RESPONSABILIDAD LIMITADA - MODIFICACION CON AUMENTO DE CAPITAL,,,7 B),,5o/oo y nunca menos de 40UR
18,CAPITULO II - CERTIFICACIONES,18,SOCIEDADES POR ACCIONES SIMPLIFICADAS - MODIFICACION CON AUMENTO DE CAPITAL,,,7 B),,5o/oo y nunca menos de 40UR
19,CAPITULO II - CERTIFICACIONES,19,SOCIEDADES ANONIMAS - MODIFICACION SIN AUMENTO DE CAPITAL,,,7 B),,40 UR semestral
20,CAPITULO II - CERTIFICACIONES,20,SOCIEDADES DE RESPONSABILIDAD LIMITADA - MODIFICACION SIN AUMENTO DE CAPITAL,,,7 B),,40 UR semestral
21,CAPITULO II - CERTIFICACIONES,21,SOCIEDADES POR ACCIONES SIMPLIFICADAS - MODIFICACION SIN AUMENTO DE CAPITAL,,,7 B),,40 UR semestral
22,CAPITULO II - CERTIFICACIONES,22,HOLDING - CONSTITUCION,,,7 C),,1o/oo y nunca menos de 40UR
23,CAPITULO II - CERTIFICACIONES,23,HOLDING - MODIFICACION CON AUMENTO DE CAPITAL,,,7 C),,1o/oo y nunca menos de 40UR
24,CAPITULO II - CERTIFICACIONES,24,HOLDING - MODIFICACION SIN AUMENTO DE CAPITAL,,,7 C),,40 UR semestral
25,CAPITULO II - CERTIFICACIONES,25,SOCIEDADES ANONIMAS SIN AUMENTO DE CAPITAL DENTRO DE 120 DE CONSTITUCION,,,7 D),,6  UR semestral
